# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	2471
#@/user_id	0f0c650b-c559-41ba-87f1-1a1028d9eaec
a si dun 	阿斯頓	c=0 d=0.0156453 t=2471
a si dun fa 	阿斯頓發	c=1 d=0.157237 t=2471
ai 	唉	c=1 d=0.0123389 t=2471
ai 	愛	c=3 d=1.5273 t=2471
ai di san fang 	愛第三方	c=1 d=0.782705 t=2471
an pai 	安排	c=1 d=0.000319102 t=2471
an zhuang 	安裝	c=7 d=0.0219651 t=2471
an zhuo 	安卓	c=2 d=0.949894 t=2471
ba 	吧	c=1 d=0.744532 t=2471
ba 	把	c=5 d=0.0324647 t=2471
bai 	白	c=1 d=0.000446085 t=2471
bai bai 	白白	c=1 d=0.000323925 t=2471
bai du 	百度	c=3 d=0.00248135 t=2471
ban 	版	c=3 d=0.113581 t=2471
ban ben 	版本	c=2 d=0.00522952 t=2471
ban gong 	辦公	c=2 d=1 t=2471
ban tian 	半天	c=1 d=0.00891518 t=2471
bang 	棒	c=1 d=0.000338834 t=2471
bang ding 	綁定	c=2 d=0.0333729 t=2471
bao 	包	c=6 d=0.0228688 t=2471
bao 	抱	c=1 d=0.0539337 t=2471
bao 	爆	c=2 d=0.00399583 t=2471
bao bei 	寶貝	c=1 d=0.0720785 t=2471
bao cun 	保存	c=4 d=0.766053 t=2471
bao yu 	鮑魚	c=1 d=1.21887e-05 t=2471
bei 	北	c=2 d=0.000114294 t=2471
bei 	被	c=2 d=0.000525089 t=2471
bei jing 	北京	c=1 d=0.00504176 t=2471
bei jing 	背景	c=1 d=7.67467e-05 t=2471
bi 	閉	c=2 d=0.0026677 t=2471
bi bao 	閉包	c=1 d=0.00228818 t=2471
bi ji 	筆記	c=6 d=0.613986 t=2471
bi ye 	畢業	c=1 d=3.83023e-05 t=2471
bian 	變	c=1 d=0.000773179 t=2471
bian cheng 	編程	c=6 d=0.835276 t=2471
bian da 	變大	c=1 d=0.282239 t=2471
bian ji 	編輯	c=1 d=0.0146253 t=2471
bian ji qi 	編輯器	c=7 d=0.153867 t=2471
bian liang 	變量	c=4 d=0.00459198 t=2471
bian ma 	編碼	c=4 d=2.95057 t=2471
bian xiao 	變小	c=1 d=0.285076 t=2471
biao da 	表達	c=2 d=0.336963 t=2471
biao da shi 	表達式	c=2 d=0.00178273 t=2471
biao zhun 	標準	c=2 d=0.000498279 t=2471
bie ren 	別人	c=1 d=1.38809e-05 t=2471
bing 	並	c=4 d=0.191628 t=2471
bing qie 	並且	c=1 d=0.045502 t=2471
bing ren 	病人	c=1 d=0.000265207 t=2471
bu 	不	c=5 d=1.36491 t=2471
bu 	補	c=38 d=0.478033 t=2471
bu dong 	不懂	c=1 d=0.0122773 t=2471
bu hui 	不會	c=1 d=0.0652193 t=2471
bu huo 	捕獲	c=5 d=0.00384603 t=2471
bu kou qian 	不扣錢	c=1 d=0.839457 t=2471
bu mai 	不買	c=2 d=0.000553528 t=2471
bu neng 	不能	c=2 d=0.951856 t=2471
bu quan 	不全	c=4 d=0.073579 t=2471
bu wan 	不玩	c=1 d=2.00958e-05 t=2471
bu yi yang 	不一樣	c=1 d=0.970446 t=2471
bu zhi dao 	不知道	c=1 d=0.329559 t=2471
bu zhui 	不追	c=1 d=0.0020601 t=2471
cai dan 	菜單	c=1 d=8.1086e-05 t=2471
cai guai 	纔怪	c=1 d=0.786628 t=2471
cai yuan 	裁員	c=4 d=3.20232 t=2471
can shu 	參數	c=8 d=0.00578619 t=2471
can shu zhi 	參數值	c=1 d=0.000911882 t=2471
ce shi 	測試	c=2 d=0.0195584 t=2471
ce suo 	廁所	c=1 d=0.339596 t=2471
cha jian 	插件	c=1 d=6.11357e-06 t=2471
cha kan 	查看	c=4 d=0.10998 t=2471
cha xun 	查詢	c=1 d=0.394554 t=2471
cha yi 	差異	c=1 d=5.30116e-05 t=2471
cha zhao 	查找	c=1 d=0.621885 t=2471
chang 	場	c=1 d=0.000389752 t=2471
chao 	抄	c=3 d=0.083642 t=2471
chao xi 	潮汐	c=1 d=0.0880368 t=2471
che dan 	扯淡	c=1 d=1.16524e-05 t=2471
cheng 	成	c=1 d=0.000921047 t=2471
cheng 	程	c=1 d=0.00139481 t=2471
cheng xu 	程序	c=2 d=0.000639426 t=2471
cheng xu yuan 	程序員	c=1 d=0.000432902 t=2471
chi fan 	吃飯	c=2 d=0.107568 t=2471
chong 	充	c=1 d=0.000387808 t=2471
chong gou 	重構	c=1 d=0.0169922 t=2471
chu lai 	出來	c=1 d=0.909373 t=2471
chu mo ban 	觸摸板	c=2 d=0.923199 t=2471
chuan 	串	c=1 d=0.00238156 t=2471
chuang jian 	創建	c=5 d=0.218538 t=2471
chuang kou 	窗口	c=13 d=1.83472 t=2471
chuang shi 	創始	c=1 d=0.00178203 t=2471
chui bi 	吹比	c=1 d=0.00037447 t=2471
ci 	次	c=1 d=0.00022941 t=2471
ci 	詞	c=1 d=0.170333 t=2471
ci dian 	詞典	c=1 d=0.000581442 t=2471
cun 	寸	c=1 d=3.68005e-05 t=2471
cuo wu 	錯誤	c=3 d=0.0456494 t=2471
da 	大	c=2 d=0.0338898 t=2471
da 	打	c=2 d=2.40202e-05 t=2471
da hao 	大號	c=2 d=2.92582e-05 t=2471
da kai 	打開	c=4 d=0.0651364 t=2471
da lao 	大佬	c=1 d=0.380983 t=2471
da liang 	大量	c=2 d=0.119847 t=2471
da qiao 	大橋	c=4 d=0.51068 t=2471
da rao 	打擾	c=4 d=0.00144484 t=2471
da si ma 	大司馬	c=1 d=0.0343896 t=2471
da xiao 	大小	c=3 d=0.58088 t=2471
dai 	帶	c=2 d=0.00191273 t=2471
dai li 	代理	c=2 d=0.000406942 t=2471
dai ma 	代碼	c=9 d=0.248201 t=2471
dai ye 	待業	c=1 d=0.000401622 t=2471
dan 	但	c=1 d=1.14216e-05 t=2471
dan 	單	c=1 d=0.00125578 t=2471
dan mu 	彈幕	c=6 d=0.899612 t=2471
dan mu ku 	彈幕庫	c=1 d=0.137381 t=2471
dan shi 	但是	c=3 d=0.0112934 t=2471
dang bu zhu 	擋不住	c=1 d=0.00606634 t=2471
dang qian 	當前	c=4 d=0.105919 t=2471
dao 	刀	c=1 d=1.23112e-05 t=2471
dao 	到	c=15 d=1.90479 t=2471
dao 	導	c=1 d=0.000958635 t=2471
dao 	道	c=2 d=0.0056318 t=2471
dao ti 	道題	c=1 d=0.0711579 t=2471
de 	得	c=1 d=0.000278804 t=2471
de 	的	c=79 d=6.7531 t=2471
de dao 	得到	c=3 d=0.131473 t=2471
